АНГЛІЙСЬКІ СЛОВА З ПЕРЕКЛАДОМ УКРАЇНСЬКОЮ
=============================================

   1. apple                          — яблуко
   2. book                           — книга
   3. car                            — машина
   4. dog                            — собака
   5. eye                            — око
   6. fish                           — риба
   7. girl                           — дівчина
   8. house                          — будинок
   9. ice                            — лід
  10. jump                           — стрибати
  11. key                            — ключ
  12. lamp                           — лампа
  13. moon                           — місяць
  14. night                          — ніч
  15. orange                         — апельсин
  16. pen                            — ручка
  17. queen                          — королева
  18. rain                           — дощ
  19. sun                            — сонце
  20. tree                           — дерево
  21. umbrella                       — парасоля
  22. voice                          — голос
  23. water                          — вода
  24. box                            — коробка
  25. year                           — рік
  26. zero                           — нуль
  27. air                            — повітря
  28. baby                           — дитина
  29. cake                           — торт
  30. door                           — двері
  31. earth                          — земля
  32. face                           — обличчя
  33. game                           — гра
  34. hand                           — рука
  35. idea                           — ідея
  36. job                            — робота
  37. king                           — король
  38. life                           — життя
  39. map                            — карта
  40. name                           — ім'я
  41. open                           — відкривати
  42. park                           — парк
  43. question                       — питання
  44. road                           — дорога
  45. sky                            — небо
  46. time                           — час
  47. use                            — використовувати
  48. view                           — вид
  49. walk                           — ходити
  50. exit                           — вихід
  51. yard                           — двір
  52. zone                           — зона
  53. arm                            — рука
  54. bed                            — ліжко
  55. city                           — місто
  56. day                            — день
  57. ear                            — вухо
  58. fog                            — туман
  59. gold                           — золото
  60. hat                            — капелюх
  61. ink                            — чорнило
  62. joy                            — радість
  63. kid                            — дитина
  64. leg                            — нога
  65. milk                           — молоко
  66. nose                           — ніс
  67. oil                            — олія
  68. page                           — сторінка
  69. ring                           — кільце
  70. sand                           — пісок
  71. tea                            — чай
  72. unit                           — одиниця
  73. vine                           — виноград
  74. wind                           — вітер
  75. exam                           — іспит
  76. zoo                            — зоопарк
  77. age                            — вік
  78. bus                            — автобус
  79. cup                            — чашка
  80. desk                           — стіл
  81. egg                            — яйце
  82. fan                            — вентилятор
  83. gun                            — зброя
  84. hip                            — стегно
  85. inn                            — готель
  86. jar                            — банка
  87. kit                            — набір
  88. lip                            — губа
  89. mud                            — бруд
  90. net                            — мережа
  91. oak                            — дуб
  92. pig                            — свиня
  93. rug                            — килим
  94. sea                            — море
  95. tin                            — жерсть
  96. urn                            — урна
  97. vat                            — чан
  98. wig                            — перука
  99. ax                             — сокира
 100. yam                            — батат
 101. ability                        — здатність
 102. above                          — вище
 103. absent                         — відсутній
 104. accept                         — приймати
 105. accident                       — аварія
 106. account                        — рахунок
 107. accurate                       — точний
 108. achieve                        — досягати
 109. across                         — через
 110. action                         — дія
 111. active                         — активний
 112. add                            — додавати
 113. address                        — адреса
 114. adult                          — дорослий
 115. advance                        — просуватися
 116. advice                         — порада
 117. affect                         — впливати
 118. afraid                         — наляканий
 119. after                          — після
 120. again                          — знову
 121. against                        — проти
 122. agent                          — агент
 123. agree                          — погоджуватися
 124. ahead                          — попереду
 125. allow                          — дозволяти
 126. almost                         — майже
 127. alone                          — один
 128. already                        — вже
 129. also                           — також
 130. always                         — завжди
 131. among                          — серед
 132. amount                         — кількість
 133. ancient                        — давній
 134. anger                          — гнів
 135. animal                         — тварина
 136. answer                         — відповідь
 137. anyone                         — будь-хто
 138. appear                         — з'являтися
 139. apply                          — застосовувати
 140. area                           — область
 141. argue                          — сперечатися
 142. around                         — навколо
 143. arrive                         — прибувати
 144. article                        — стаття
 145. artist                         — художник
 146. aspect                         — аспект
 147. attack                         — атакувати
 148. attract                        — приваблювати
 149. author                         — автор
 150. avoid                          — уникати
 151. award                          — нагорода
 152. aware                          — обізнаний
 153. awful                          — жахливий
 154. balance                        — баланс
 155. bank                           — банк
 156. basic                          — базовий
 157. battle                         — битва
 158. beach                          — пляж
 159. beauty                         — краса
 160. begin                          — починати
 161. belong                         — належати
 162. benefit                        — користь
 163. between                        — між
 164. beyond                         — за межами
 165. billion                        — мільярд
 166. bitter                         — гіркий
 167. black                          — чорний
 168. blame                          — звинувачувати
 169. blank                          — порожній
 170. blind                          — сліпий
 171. blood                          — кров
 172. blow                           — дути
 173. board                          — дошка
 174. border                         — кордон
 175. borrow                         — позичати
 176. boss                           — начальник
 177. bottom                         — дно
 178. branch                         — гілка
 179. brave                          — сміливий
 180. break                          — ламати
 181. breath                         — дихання
 182. bridge                         — міст
 183. bright                         — яскравий
 184. bring                          — приносити
 185. broad                          — широкий
 186. brother                        — брат
 187. brown                          — коричневий
 188. build                          — будувати
 189. burn                           — горіти
 190. busy                           — зайнятий
 191. button                         — кнопка
 192. buyer                          — покупець
 193. cabinet                        — шафа
 194. cable                          — кабель
 195. call                           — телефонувати
 196. calm                           — спокійний
 197. camera                         — камера
 198. cancel                         — скасувати
 199. capital                        — столиця
 200. captain                        — капітан
 201. careful                        — обережний
 202. carry                          — нести
 203. cash                           — готівка
 204. catch                          — ловити
 205. cause                          — причина
 206. central                        — центральний
 207. century                        — століття
 208. chain                          — ланцюг
 209. chance                         — шанс
 210. change                         — змінювати
 211. chapter                        — розділ
 212. charge                         — заряд
 213. cheap                          — дешевий
 214. check                          — перевіряти
 215. choose                         — вибирати
 216. circle                         — коло
 217. claim                          — стверджувати
 218. class                          — клас
 219. clean                          — чистий
 220. clear                          — ясний
 221. clever                         — розумний
 222. client                         — клієнт
 223. climb                          — видиратися
 224. close                          — закривати
 225. cloud                          — хмара
 226. coach                          — тренер
 227. coast                          — берег
 228. collect                        — збирати
 229. color                          — колір
 230. come                           — приходити
 231. common                         — спільний
 232. compare                        — порівнювати
 233. complete                       — завершувати
 234. complex                        — складний
 235. concern                        — занепокоєння
 236. confirm                        — підтверджувати
 237. connect                        — з'єднувати
 238. consider                       — розглядати
 239. contact                        — контакт
 240. contain                        — містити
 241. content                        — вміст
 242. control                        — контроль
 243. cook                           — готувати
 244. copy                           — копіювати
 245. corner                         — кут
 246. correct                        — правильний
 247. cost                           — вартість
 248. count                          — рахувати
 249. country                        — країна
 250. cover                          — кришка
 251. create                         — створювати
 252. crime                          — злочин
 253. cross                          — перетинати
 254. crowd                          — натовп
 255. culture                        — культура
 256. current                        — поточний
 257. customer                       — покупець
 258. cut                            — різати
 259. damage                         — пошкодження
 260. danger                         — небезпека
 261. dark                           — темний
 262. data                           — дані
 263. dead                           — мертвий
 264. deal                           — угода
 265. death                          — смерть
 266. decide                         — вирішувати
 267. deep                           — глибокий
 268. degree                         — ступінь
 269. delay                          — затримка
